"wavenumber" "waveplate" "signal"
481.676 "20" 0.0386846314029502
481.676 "30" 0.0349439564967156
481.676 "40" 0.0400737918907332
481.676 "50" 0.0462275683710027
481.676 "60" 0.0459152474868603
481.676 "70" 0.0457296869282784
481.676 "80" 0.0443219700303863
481.676 "90" 0.0500243221117377
486.614 "0" 0.0388921587253299
486.614 "10" 0.03308134811648
486.614 "20" 0.0354008309012701
486.614 "30" 0.0456091982535614
486.614 "40" 0.0567803355910647
486.614 "50" 0.0614338159369352
486.614 "60" 0.0553973837816961
486.614 "70" 0.0555588062883604
486.614 "80" 0.0569108977867085
486.614 "90" 0.0599716639337426
491.549 "0" 0.0239311597935353
491.549 "10" 0.0361820153346025
491.549 "20" 0.0434909473308463
491.549 "30" 0.047056557214913
491.549 "40" 0.0472090360109918
491.549 "50" 0.048323513580669
491.549 "60" 0.0449061622131022
491.549 "70" 0.0494232778915277
491.549 "80" 0.0485546050909724
491.549 "90" 0.0572105466457223
496.481 "0" 0.0235642210866569
496.481 "10" 0.027398281503346
496.481 "20" 0.0300974081212289
496.481 "30" 0.0241739492216204
496.481 "40" 0.0261915572499541
496.481 "50" 0.0292051965462342
496.481 "60" 0.022500713691219
496.481 "70" 0.0235278074146793
496.481 "80" 0.0244745129704428
496.481 "90" 0.0293578049918148
501.41 "0" 0.0139026182168448
501.41 "10" 0.0190495260355323
501.41 "20" 0.0175562956044485
501.41 "30" 0.0201769770932307
501.41 "40" 0.0225771567537553
501.41 "50" 0.0225491871278771
501.41 "60" 0.0171135298113711
501.41 "70" 0.0165694255548757
501.41 "80" 0.0177380924495396
501.41 "90" 0.0216596772426447
506.337 "0" 0.0215591941914095
506.337 "10" 0.0247375381804346
506.337 "20" 0.0265298608507614
506.337 "30" 0.0267044249521481
506.337 "40" 0.0253705812690181
506.337 "50" 0.0228033962136398
506.337 "60" 0.0155964785847118
506.337 "70" 0.0180672925922327
506.337 "80" 0.0142745650264367
506.337 "90" 0.0171898973859855
511.261 "0" 0.0265642381250636
511.261 "10" 0.0283147297382769
511.261 "20" 0.0270937363129394
511.261 "30" 0.0168854601281758
511.261 "40" 0.0226667917043784
511.261 "50" 0.0192073172088255
511.261 "60" 0.0170653586140987
511.261 "70" 0.0174778206202036
511.261 "80" 0.0120329749087693
511.261 "90" 0.0113199235036707
516.183 "0" 0.0271213082650811
516.183 "10" 0.0259504286366723
516.183 "20" 0.0196506201014481
516.183 "30" 0.0142018336855247
516.183 "40" 0.0199792438630014
516.183 "50" 0.0143326464241361
516.183 "60" 0.0121530130920257
516.183 "70" 0.0173228405536346
516.183 "80" 0.0166465489803654
516.183 "90" 0.0135819879951113
521.101 "0" 0.0236995327057318
521.101 "10" 0.0274140362749733
521.101 "20" 0.0214797071772358
521.101 "30" 0.0182428987989697
521.101 "40" 0.0219763224597351
521.101 "50" 0.0171989027413554
521.101 "60" 0.0132045372495376
521.101 "70" 0.014664153642065
521.101 "80" 0.017246512192846
521.101 "90" 0.0197473458543633
526.017 "0" 0.0154463578373822
526.017 "10" 0.014922940103531
526.017 "20" 0.0153537591221028
526.017 "30" 0.0156091391031803
526.017 "40" 0.0185032532162619
526.017 "50" 0.0170950974429025
526.017 "60" 0.0151438602419795
526.017 "70" 0.0128876641743752
526.017 "80" 0.0150694323176718
526.017 "90" 0.013589266455487
530.93 "0" 0.0103003081002295
530.93 "10" 0.0168589480670081
530.93 "20" 0.0172357354985879
530.93 "30" 0.017601196284308
530.93 "40" 0.020984316218341
530.93 "50" 0.0165734898287638
530.93 "60" 0.0170922966277669
530.93 "70" 0.0207972192124451
530.93 "80" 0.0169363075163987
530.93 "90" 0.0155717570261969
535.841 "0" 0.0117842968156794
535.841 "10" 0.0217640207536403
535.841 "20" 0.020378816768509
535.841 "30" 0.0204457200715141
535.841 "40" 0.0234930331239676
535.841 "50" 0.0194973613494819
535.841 "60" 0.0190404594659532
535.841 "70" 0.015693309252658
535.841 "80" 0.0168003723252971
535.841 "90" 0.0161541132247561
540.749 "0" 0.0119476140034055
540.749 "10" 0.0143832263906361
540.749 "20" 0.0176413612588195
540.749 "30" 0.00988275573878777
540.749 "40" 0.0175396998440125
540.749 "50" 0.0125604075998497
540.749 "60" 0.0120701999224875
540.749 "70" 0.0106042170397103
540.749 "80" 0.00902281562638188
540.749 "90" 0.00615178067129142
545.654 "0" 0.00151843285103445
545.654 "10" 0.00873110734393536
545.654 "20" 0.00652409771156465
545.654 "30" 0.00312040687085471
545.654 "40" 0.00906759490741282
545.654 "50" 0.00435707177021678
545.654 "60" 0.0042803442828646
545.654 "70" 7.047217579589e-05
545.654 "80" 6.95447809052426e-05
545.654 "90" 0.000774170995398097
550.556 "0" 0.000398075263685311
550.556 "10" 0.00393613133887274
550.556 "20" 0.00173232924080807
550.556 "30" 0.000561043882221134
550.556 "40" -0.00278709616948352
550.556 "50" -0.00298042305790627
550.556 "60" -0.00392505055020227
550.556 "70" -0.00330905196392653
