"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 1573.34 0.0319277108433735 0 45
"Mit Mikroskop" 1577.69 0.0389638193106401 0 45
"Mit Mikroskop" 1582.04 0.00628073551421848 0 45
"Mit Mikroskop" 1586.39 -0.0438229292030768 0 45
"Mit Mikroskop" 1590.74 -0.0616591639871383 0 45
"Mit Mikroskop" 1595.08 -0.0466052934407364 0 45
"Mit Mikroskop" 1599.42 -0.0490515708358032 0 45
"Mit Mikroskop" 1603.76 -0.013595921223633 0 45
"Mit Mikroskop" 1608.1 0.0229613842796976 0 45
"Mit Mikroskop" 1612.43 0.0375057406745931 0 45
"Mit Mikroskop" 1616.77 0.0411301022399126 0 45
"Mit Mikroskop" 1621.1 0.0369000786782061 0 45
"Mit Mikroskop" 1625.42 0.0142221991107876 0 45
"Mit Mikroskop" 1629.75 -0.0273087137345291 0 45
"Mit Mikroskop" 1634.07 -0.0226319992015172 0 45
"Mit Mikroskop" 1638.4 -0.0103671369553354 0 45
"Mit Mikroskop" 1642.71 -0.042343827693596 0 45
"Mit Mikroskop" 1647.03 -0.0429241950136268 0 45
"Mit Mikroskop" 1651.35 -0.0206750743663495 0 45
"Mit Mikroskop" 1655.66 0.0202165706338167 0 45
"Mit Mikroskop" 1659.97 0.042682455914532 0 45
"Mit Mikroskop" 1664.28 0.0222762465977855 0 45
"Mit Mikroskop" 1668.58 0.0098121744620403 0 45
"Mit Mikroskop" 1672.89 -0.00383288616328092 0 45
"Mit Mikroskop" 1677.19 -0.00309772587584511 0 45
"Mit Mikroskop" 1681.49 -0.0135878746922816 0 45
"Mit Mikroskop" 1685.78 0.0140765765765765 0 45
"Mit Mikroskop" 1690.08 0.00906598157160143 0 45
"Mit Mikroskop" 1694.37 0.0119301339996571 0 45
"Mit Mikroskop" 1698.66 0.0276058306709266 0 45
"Mit Mikroskop" 1702.95 0.0208768805966297 0 45
"Mit Mikroskop" 1707.23 -0.0262671761520358 0 45
"Mit Mikroskop" 1711.52 -0.0311417829227268 0 45
"Mit Mikroskop" 1715.8 -0.00471662798532602 0 45
"Mit Mikroskop" 1720.08 0.00739181638226971 0 45
"Mit Mikroskop" 1724.35 -0.0195177956371986 0 45
"Mit Mikroskop" 1728.63 -0.0364593440714145 0 45
"Mit Mikroskop" 1732.9 0.0136669920712398 0 45
"Mit Mikroskop" 1737.17 0.0281811029253987 0 45
"Mit Mikroskop" 1741.44 0.00851331414612932 0 45
"Mit Mikroskop" 1745.7 -0.00472911714978808 0 45
"Mit Mikroskop" 1749.97 0.0113138134354684 0 45
"Mit Mikroskop" 1754.23 0.00857567069424525 0 45
"Mit Mikroskop" 1758.49 0.014033780427223 0 45
"Mit Mikroskop" 1762.74 0.00837164287442538 0 45
"Mit Mikroskop" 1767 -0.00776531492666077 0 45
"Mit Mikroskop" 1771.25 0.0122387036765064 0 45
"Mit Mikroskop" 1775.5 0.0255906490922657 0 45
"Mit Mikroskop" 1779.75 0.00887221034842689 0 45
"Mit Mikroskop" 1783.99 -0.00362246923382303 0 45
"Mit Mikroskop" 1788.24 -0.00218882959100841 0 45
"Mit Mikroskop" 1792.48 0.0102890973763996 0 45
"Mit Mikroskop" 1796.72 -0.000544662309368116 0 45
"Mit Mikroskop" 1800.95 -0.00109919636532407 0 45
"Mit Mikroskop" 1805.19 0.0063949627370441 0 45
"Mit Mikroskop" 1809.42 -0.00952658695440856 0 45
"Mit Mikroskop" 1813.65 -0.0321836871937745 0 45
"Mit Mikroskop" 1817.88 -0.0360205010298414 0 45
"Mit Mikroskop" 1822.11 -0.014731537119597 0 45
"Mit Mikroskop" 1826.33 -0.000243926236705994 0 45
